A,B,C,D,E,F,G,H,I,action
-1,5.504221,3.975652,7.553554,5.226471,16.62735,0.2791601,4.820508,22.40405,ACCELERATE
-1,5.459976,3.943581,7.599669,5.258536,16.65953,0.2791601,6.250301,22.50006,ACCELERATE
-1,5.413499,3.909912,7.648116,5.292199,16.69292,0.2791607,7.757139,22.60124,ACCELERATE
-1,5.368613,3.877407,7.694907,5.3247,16.72535,0.27916,9.23741,22.70064,ACCELERATE
-1,5.322386,3.843941,7.743097,5.358161,16.75899,0.2791609,10.78497,22.80456,ACCELERATE
-1,5.279327,3.812774,7.787984,5.389325,16.78989,0.2791607,12.21464,22.90056,ACCELERATE
-1,5.232825,3.779119,7.83646,5.422976,16.8239,0.2791605,13.79411,23.00662,ACCELERATE
-1,5.18899,3.747397,7.882154,5.454695,16.85529,0.2791601,15.25649,23.10482,ACCELERATE
-1,5.146832,3.716892,7.926097,5.485196,16.88574,0.2791604,16.67779,23.20026,ACCELERATE
-1,5.102355,3.68471,7.972456,5.517375,16.91829,0.2791599,18.20038,23.3025,ACCELERATE
-1,5.05746,3.652229,8.019247,5.549853,16.95059,0.2791604,19.71295,23.40407,ACCELERATE
-1,5.014416,3.621087,8.064107,5.580991,16.98203,0.27916,21.18752,23.50309,ACCELERATE
-1,4.969162,3.588348,8.111268,5.613727,17.0143,0.2791602,22.70223,23.6048,ACCELERATE
-1,4.926786,3.557693,8.155425,5.644379,17.04506,0.2791598,24.1475,23.70185,ACCELERATE
-1,4.882002,3.525295,8.202092,5.676773,17.07734,0.2791601,25.66562,23.80378,ACCELERATE
-1,4.837898,3.493393,8.248044,5.708673,17.10933,0.2791608,27.17145,23.9049,ACCELERATE
-1,4.795121,3.462449,8.292612,5.739613,17.14026,0.2791605,28.62863,24.00275,ACCELERATE
-1,4.750743,3.43035,8.338844,5.77171,17.17225,0.2791599,30.13665,24.10402,ACCELERATE
-1,4.708001,3.399433,8.400911,5.802623,17.2031,0.2791604,31.59255,24.20178,ACCELERATE
-1,4.664348,3.36786,8.600603,5.834193,17.23492,0.2791596,33.09515,24.30268,ACCELERATE
-1,4.599215,3.335675,9.065601,5.866375,17.26757,0.2791601,34.63831,24.40631,ACCELERATE
-1,4.472047,3.304974,9.953286,5.897073,17.29785,0.2791604,36.07032,24.50246,ACCELERATE
-1,4.255674,3.263996,-1,5.942176,17.32989,0.2791589,37.58667,24.60429,ACCELERATE
-1,3.97209,3.177953,-1,6.064535,17.36047,0.2791597,39.03562,24.70159,ACCELERATE
9.137877,3.603861,3.013412,-1,6.306682,17.39244,0.2791607,40.55096,24.80334,ACCELERATE
7.654546,3.175155,2.774808,-1,6.676038,17.42384,0.2791582,42.04085,24.90339,ACCELERATE
6.453406,2.730691,2.454688,-1,7.124626,17.43353,0.2791615,43.52102,25.00279,LEFT_ACCELERATE
5.965672,2.401189,2.117132,-1,7.414538,17.32102,0.2791727,45.0205,25.10392,LEFT_ACCELERATE
6.262855,2.245044,1.888535,-1,7.487735,17.00035,0.2791978,46.48811,25.2051,LEFT_ACCELERATE
7.706682,2.36129,1.822025,-1,7.397917,16.43196,0.2792147,47.84533,25.30433,LEFT_ACCELERATE
-1,2.762845,1.965721,-1,7.248763,15.63449,0.2792184,49.04467,25.40157,LEFT_ACCELERATE
-1,3.518899,2.29388,-1,7.04642,14.5999,0.279219,50.09948,25.50145,LEFT_ACCELERATE
-1,4.763283,2.856283,8.215931,6.773487,13.36804,0.2792206,50.95068,25.60281,LEFT_ACCELERATE
-1,6.542469,3.657309,6.586095,6.428827,11.96548,0.2792198,51.56428,25.70658,LEFT_ACCELERATE
-1,8.215467,4.621707,5.372032,5.901155,10.57295,0.2792087,51.90104,25.80367,LEFT_ACCELERATE
